item,quantidade
CREME DE LEITE P,5
AÇAFRÃO PCT,15
ARROZ,5
LEITE NINHO,1
DOCE DE LEITE BALDE,0
NÓZ-MOSCADA,4
ARROZ ARBÓREO,2
FARINHA DE MANDIOCA,0
LEITE CONDENSADO P,5
FARINHA DE ROSCA KG,0
FARINHA DE TRIGO,1
LEITE CONDENSADO 2.5KG,1
FARINHA PANKO,0
LEITE INTEGRAL,8
FARINHA PANKO ABERTO,0
LEITE DE COCO,4
FARINHA ROSCA VASILHA,3
CHANTILLY,1
PURÊ DE BATATA,0
TEMPERO BAIANO,4
FEIJÃO PRETO,15
ALECRIM,4
FEIJÃO CARIOCA,2
COLORAU,1
FUBÁ DE MILHO,1
MACARRÃO ESPAGUETE,2
M. HELLMAMS PCT P,6
MACARRÃO PENNE,0
CANELA CASCA PCT,8
MACARRÃO TALHARIM,2
SAL GROSSO,6
AÇÚCAR MASCAVO,1
SAL REFINADO,11
CAFÉ,1
PAPRICA DOCE,4
AÇÚCAR REFINADA,8
PIMENTA SIRIA,4
SUCO PCT,9
PIMENTA DO REINO PCT,2
BATATA PALHA ABERTO,0
PURURUCA,8
COBERTURA MORANGO,1
CANELA EM PÓ PCT,4
COBERTURA CHOCOLATE,1
PIMENTA TABASCO,12
OVOS,8
PALMITO,2
CEREJA EM CALDA,2
BARBECUE,1
MEL,1
OLEO DE SOJA,11
ADOÇANTE,2
CERVEJA PRETA,3
BISNAGUINHA,2
SUCO ABACAXI,2
PÃO HAMBURGUER,2
SUCO MARACUJÁ,2
PÃO DE FORMA,2
AZEITE 200ML LATA,13
PICHES,8
EXTRATO DE TOMATE,3
